,0,1,2,3,4,5,6,7,8,9
ac,0.0,0.0,0.0,0.0,0.0,0.0,0.03650907874532523,0.0,0.0,0.0
acuna,0.0,0.044814183544428295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ada,0.0,0.0,0.0,0.04503938634834383,0.0,0.04736621966258329,0.08145863524154438,0.0,0.0,0.0
adalah,0.0,0.029632429222796186,0.0,0.0,0.0,0.0,0.0724225639972536,0.0,0.02818523327433459,0.02432945869257345
adanya,0.0,0.0,0.0,0.0,0.0,0.06368743000917626,0.0,0.0,0.0,0.0
adapun,0.0,0.0,0.030359237419450406,0.0,0.02270200432348487,0.04736621966258329,0.0,0.0,0.0,0.0
afa,0.3018251357520301,0.07983478931552906,0.07271977941357873,0.21576656850254997,0.0,0.22691354186066556,0.0,0.0,0.0,0.0
afc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04262553730245168,0.0
agenda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04262553730245168,0.0
air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04262553730245168,0.0
ajang,0.0,0.044814183544428295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ajax,0.0,0.044814183544428295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
akan,0.1715256284551303,0.10888725255417583,0.1157135449805101,0.14714279976633607,0.012361167810729814,0.15474451897713448,0.0,0.016643880720212865,0.051784694915930886,0.014900161650863646
akar,0.0,0.0,0.0,0.0,0.0,0.0,0.03650907874532523,0.0,0.0,0.0
akibat,0.0,0.0,0.0,0.0,0.05189730422530588,0.0,0.0,0.03493895376441752,0.0,0.0
aksi,0.0,0.0,0.0,0.0,0.02594865211265294,0.0,0.0,0.03493895376441752,0.0,0.0
aksinya,0.0,0.044814183544428295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
akun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04262553730245168,0.0
ala,0.0,0.0,0.0,0.0,0.0,0.0,0.03650907874532523,0.0,0.0,0.0
alasan,0.0,0.0,0.0,0.0,0.0,0.0,0.03650907874532523,0.0,0.0,0.0
albiceleste,0.0,0.0,0.0,0.06055882834116712,0.0,0.0,0.0,0.0,0.0,0.0
albion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03679431136704794
alex,0.0,0.0,0.0,0.0,0.0,0.0,0.14603631498130093,0.0,0.0,0.0
alhasil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03679431136704794
allegri,0.0,0.0,0.0,0.0,0.05189730422530588,0.0,0.0,0.06987790752883503,0.0,0.0
amali,0.0,0.0,0.0,0.0,0.0,0.06368743000917626,0.0,0.0,0.0,0.0
amat,0.0,0.0,0.08164053716157436,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amistosos,0.07201356585941467,0.0,0.0,0.0,0.0,0.05414013399003722,0.0,0.0,0.0,0.0
amsterdam,0.0,0.044814183544428295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anak,0.0,0.0,0.0,0.0,0.06104909033144089,0.0,0.0,0.0,0.0,0.0
analisis,0.0,0.0,0.0,0.0,0.0,0.0,0.03650907874532523,0.0,0.0,0.0
anda,0.0,0.0,0.0,0.0,0.0,0.0,0.14603631498130093,0.0,0.0,0.0
andalan,0.0,0.06665925949465616,0.030359237419450406,0.04503938634834383,0.0,0.0,0.0,0.0,0.0,0.0
anggota,0.0,0.0,0.0,0.051480536743248276,0.0,0.05414013399003722,0.0,0.0,0.0,0.0
angin,0.0,0.0,0.0,0.0,0.030524545165720444,0.0,0.0,0.0,0.0,0.0
antara,0.0,0.0,0.0,0.04503938634834383,0.0,0.04736621966258329,0.0,0.0,0.03170186900009405,0.0
apa,0.0,0.0,0.0,0.0,0.0,0.0,0.03650907874532523,0.0,0.0,0.0
apabila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04110023393873865,0.0,0.0
april,0.0,0.03332962974732808,0.0,0.0,0.02270200432348487,0.0,0.0,0.030567455911556813,0.0,0.0
arahan,0.0,0.0,0.0,0.0,0.0,0.0,0.03650907874532523,0.0,0.0,0.0
area,0.0,0.0,0.0,0.0,0.0,0.0,0.03650907874532523,0.0,0.0,0.0
argentina,0.2515209464600251,0.29272756082360657,0.21815933824073616,0.32364985275382496,0.0,0.2647324655041098,0.0,0.0,0.0,0.0
argentino,0.07201356585941467,0.0380961502356099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arrigo,0.0,0.0,0.0,0.0,0.0,0.0,0.03650907874532523,0.0,0.0,0.0
arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.03650907874532523,0.0,0.0,0.0
arya,0.0,0.0,0.0,0.10296107348649655,0.0,0.10828026798007444,0.0,0.0,0.0,0.0
as,0.0,0.0,0.0,0.0,0.0,0.0,0.031036052402176273,0.03493895376441752,0.0,0.0
asia,0.0909523769429481,0.07217255613481162,0.04382694484309438,0.03250968846785047,0.0,0.06837842031064792,0.0,0.0,0.022882591629260984,0.0
asociacion,0.07201356585941467,0.0380961502356099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asosiasi,0.0,0.0,0.04082026858078718,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asuh,0.0,0.0,0.0,0.0,0.030524545165720444,0.0,0.0,0.0,0.0,0.0
asuhan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04110023393873865,0.0,0.0
atalanta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04110023393873865,0.0,0.0
atas,0.0,0.024057518711603876,0.0,0.03250968846785047,0.016386437471509342,0.03418921015532396,0.03919820804894621,0.02206376572837138,0.0,0.0
atau,0.07201356585941467,0.0,0.0,0.0,0.0,0.0,0.062072104804352546,0.0,0.0,0.0
australia,0.050304189292005023,0.10644638575403875,0.04847985294238581,0.03596109475042499,0.0,0.03781892364344426,0.0,0.0,0.0,0.0
aziz,0.0,0.044814183544428295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baca,0.03132000991459297,0.03313741761979799,0.04527623333713643,0.044779644000820185,0.05642770440122319,0.047093058456670625,0.026996287639571376,0.04558675987979842,0.03151904417625463,0.05441440032457484
badan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04262553730245168,0.0
bagi,0.0,0.0,0.0,0.0,0.0,0.0,0.062072104804352546,0.0,0.0,0.03127852618948677
bagian,0.0,0.0,0.0,0.0,0.0,0.0,0.031036052402176273,0.0,0.03623560097525613,0.0
bagus,0.0,0.0380961502356099,0.03470095763252968,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bahkan,0.0,0.03332962974732808,0.0,0.0,0.02270200432348487,0.0,0.027152878413848128,0.0,0.0,0.0
bahwa,0.0909523769429481,0.0,0.06574041726464157,0.06501937693570094,0.0,0.06837842031064792,0.019599104024473107,0.0,0.022882591629260984,0.0
baik,0.0,0.0,0.0,0.0,0.0,0.0,0.03650907874532523,0.0,0.0,0.0
bak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04110023393873865,0.0,0.0
bakal,0.0,0.029632429222796186,0.02699153758712393,0.08008648390775859,0.0,0.04211196350944871,0.0,0.0,0.0,0.0
balasan,0.0,0.0,0.0,0.0,0.02594865211265294,0.0,0.0,0.03493895376441752,0.0,0.0
banding,0.0,0.0,0.0,0.0,0.07784595633795882,0.0,0.0,0.06987790752883503,0.0,0.0
bangku,0.0,0.0,0.0,0.0,0.0,0.0,0.03650907874532523,0.0,0.0,0.0
bangsa,0.0,0.0,0.04082026858078718,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bantuan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04262553730245168,0.0
banyak,0.0,0.0,0.03470095763252968,0.0,0.0,0.0,0.062072104804352546,0.0,0.0,0.0
barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.031036052402176273,0.0,0.0,0.03127852618948677
baru,0.0,0.0,0.0,0.0,0.0,0.0,0.03650907874532523,0.0,0.0,0.0
bawa,0.0,0.0,0.0,0.0,0.0,0.05414013399003722,0.0,0.0,0.03623560097525613,0.0
bayer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03679431136704794
bebas,0.0,0.0,0.0,0.0,0.06104909033144089,0.0,0.0,0.0,0.0,0.0
beberapa,0.11202900451687142,0.0,0.02699153758712393,0.040043241953879295,0.0,0.12633589052834612,0.0,0.0,0.0,0.0
begitu,0.0,0.0380961502356099,0.0,0.0,0.0,0.0,0.062072104804352546,0.0,0.0,0.0
behich,0.0,0.044814183544428295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beijing,0.11202900451687142,0.029632429222796186,0.02699153758712393,0.0,0.0,0.04211196350944871,0.0,0.0,0.0,0.0
bek,0.0,0.0380961502356099,0.03470095763252968,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bekerja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04262553730245168,0.0
belakang,0.0,0.0380961502356099,0.0,0.0,0.0,0.0,0.062072104804352546,0.0,0.0,0.0
belum,0.0,0.026611596438509688,0.024239926471192906,0.10788328425127498,0.0,0.11345677093033278,0.021679852070699175,0.0,0.0,0.0
benar,0.0,0.0,0.08164053716157436,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bencana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04110023393873865,0.0,0.0
benchmarking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04262553730245168,0.0
benua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04262553730245168,0.0
berada,0.0,0.029632429222796186,0.0,0.0,0.06055112595889616,0.0,0.048281709331502394,0.0,0.0,0.02432945869257345
berakhir,0.0,0.044814183544428295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berani,0.0,0.029632429222796186,0.02699153758712393,0.040043241953879295,0.0,0.08422392701889742,0.0,0.0,0.0,0.0
berbeda,0.0,0.0,0.0,0.0,0.0,0.0,0.03650907874532523,0.0,0.0,0.0
berdasarkan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030567455911556813,0.03170186900009405,0.027365014325338128
berdiri,0.0,0.0,0.0,0.0,0.0,0.0,0.03650907874532523,0.0,0.0,0.0
berduel,0.0,0.0,0.04082026858078718,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berfokus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04262553730245168,0.0
bergengsi,0.0,0.0,0.0,0.0,0.0,0.0,0.03650907874532523,0.0,0.0,0.0
bergurau,0.0,0.0,0.04082026858078718,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berhak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03679431136704794
berisi,0.0,0.0,0.04082026858078718,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berjasa,0.0,0.0,0.0,0.0,0.0,0.0,0.03650907874532523,0.0,0.0,0.0
berjuluk,0.0,0.0,0.04082026858078718,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berjulukan,0.0,0.0,0.0,0.0,0.02594865211265294,0.0,0.0,0.0,0.0,0.03127852618948677
berkaitan,0.0,0.0,0.0,0.0,0.030524545165720444,0.0,0.0,0.0,0.0,0.0
berkarier,0.0,0.0,0.04082026858078718,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berkat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04110023393873865,0.0,0.0
berkata,0.0,0.0,0.0,0.0,0.0,0.0,0.03650907874532523,0.0,0.0,0.0
berkualitas,0.0,0.0,0.0,0.0,0.0,0.05414013399003722,0.0,0.0,0.14494240390102453,0.0
berlangsung,0.0,0.0,0.02699153758712393,0.040043241953879295,0.020183708652965388,0.0,0.0,0.027176658747394698,0.0,0.0
bermain,0.04129398393056459,0.021845075950227864,0.019898206258113633,0.029519944355520536,0.0,0.03104500931599032,0.05339003424711308,0.0,0.0,0.017935717283628323
berpeluang,0.0,0.0,0.0,0.0,0.02594865211265294,0.0,0.0,0.03493895376441752,0.0,0.0
berpikir,0.0,0.0,0.0,0.0,0.0,0.0,0.03650907874532523,0.0,0.0,0.0
berpostur,0.0,0.044814183544428295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bersama,0.0,0.03332962974732808,0.030359237419450406,0.0,0.0,0.0,0.027152878413848128,0.0,0.0,0.0
bersinar,0.0,0.0,0.0,0.0,0.030524545165720444,0.0,0.0,0.0,0.0,0.0
bertanding,0.05601450225843571,0.0,0.05398307517424786,0.0,0.020183708652965388,0.0,0.0,0.054353317494789395,0.0,0.0
bertekad,0.0,0.0,0.04082026858078718,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bertemu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08525107460490336,0.0
bertolak,0.0,0.044814183544428295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beruntun,0.0,0.0,0.0,0.0,0.0,0.0,0.031036052402176273,0.06987790752883503,0.0,0.0
berupa,0.0,0.0,0.0,0.0,0.030524545165720444,0.0,0.0,0.0,0.0,0.0
berusia,0.0,0.0,0.04082026858078718,0.0,0.0,0.0,0.0,0.0,0.0,0.0
besar,0.0,0.09998888924198424,0.0,0.0,0.04540400864696974,0.0,0.0,0.0,0.0,0.10946005730135251
bianconeri,0.0,0.0,0.0,0.0,0.05189730422530588,0.0,0.0,0.03493895376441752,0.0,0.0
biasa,0.0,0.0380961502356099,0.0,0.0,0.0,0.0,0.031036052402176273,0.0,0.0,0.0
biaya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03679431136704794
bicara,0.0,0.0,0.06940191526505936,0.0,0.0,0.0,0.031036052402176273,0.0,0.0,0.0
bill,0.0,0.0,0.0,0.0,0.0,0.0,0.07301815749065046,0.0,0.0,0.0
