term,business,entertainment,politics,df,idf,TFIDF_business,TFIDF_entertainment,TFIDF_politics
film,964,9,12,3,0.0,0.0,0.0,0.0
said,825,2241,1680,3,0.0,0.0,0.0,0.0
year,604,414,894,3,0.0,0.0,0.0,0.0
best,590,47,52,3,0.0,0.0,0.0,0.0
music,538,3,14,3,0.0,0.0,0.0,0.0
award,522,7,17,3,0.0,0.0,0.0,0.0
star,429,7,6,3,0.0,0.0,0.0,0.0
show,424,142,125,3,0.0,0.0,0.0,0.0
also,398,452,440,3,0.0,0.0,0.0,0.0
one,371,309,251,3,0.0,0.0,0.0,0.0
us,368,167,812,3,0.0,0.0,0.0,0.0
includ,332,125,152,3,0.0,0.0,0.0,0.0
new,322,430,416,3,0.0,0.0,0.0,0.0
last,259,208,368,3,0.0,0.0,0.0,0.0
first,251,178,165,3,0.0,0.0,0.0,0.0
actor,249,2,1,3,0.0,0.0,0.0,0.0
band,241,11,0,2,0.17609125905568124,42.43799343241918,1.9370038496124935,0.0
number,235,140,116,3,0.0,0.0,0.0,0.0
song,233,2,1,3,0.0,0.0,0.0,0.0
play,232,59,28,3,0.0,0.0,0.0,0.0
uk,228,340,207,3,0.0,0.0,0.0,0.0
top,228,55,76,3,0.0,0.0,0.0,0.0
director,227,39,97,3,0.0,0.0,0.0,0.0
nomin,223,2,5,3,0.0,0.0,0.0,0.0
album,213,0,5,2,0.17609125905568124,37.507438178860106,0.0,0.8804562952784062
time,212,293,226,3,0.0,0.0,0.0,0.0
two,212,192,231,3,0.0,0.0,0.0,0.0
tv,209,9,13,3,0.0,0.0,0.0,0.0
peopl,206,623,169,3,0.0,0.0,0.0,0.0
perform,204,24,69,3,0.0,0.0,0.0,0.0
record,200,67,110,3,0.0,0.0,0.0,0.0
mr,199,1718,603,3,0.0,0.0,0.0,0.0
would,196,1051,463,3,0.0,0.0,0.0,0.0
take,196,223,172,3,0.0,0.0,0.0,0.0
oscar,193,0,0,1,0.47712125471966244,92.08440216089485,0.0,0.0
british,190,185,42,3,0.0,0.0,0.0,0.0
make,188,290,204,3,0.0,0.0,0.0,0.0
bbc,186,253,52,3,0.0,0.0,0.0,0.0
chart,174,1,0,2,0.17609125905568124,30.639879075688537,0.17609125905568124,0.0
work,169,290,135,3,0.0,0.0,0.0,0.0
three,165,88,164,3,0.0,0.0,0.0,0.0
million,164,72,143,3,0.0,0.0,0.0,0.0
festiv,164,2,10,3,0.0,0.0,0.0,0.0
actress,163,0,0,1,0.47712125471966244,77.77076451930498,0.0,0.0
go,162,273,123,3,0.0,0.0,0.0,0.0
like,159,228,159,3,0.0,0.0,0.0,0.0
singer,156,2,0,2,0.17609125905568124,27.470236412686273,0.3521825181113625,0.0
win,154,103,16,3,0.0,0.0,0.0,0.0
hit,153,47,144,3,0.0,0.0,0.0,0.0
releas,153,42,25,3,0.0,0.0,0.0,0.0
movi,150,0,0,1,0.47712125471966244,71.56818820794936,0.0,0.0
produc,149,25,92,3,0.0,0.0,0.0,0.0
prize,149,5,2,3,0.0,0.0,0.0,0.0
name,146,39,37,3,0.0,0.0,0.0,0.0
made,145,186,147,3,0.0,0.0,0.0,0.0
singl,143,18,21,3,0.0,0.0,0.0,0.0
day,141,155,96,3,0.0,0.0,0.0,0.0
role,141,84,30,3,0.0,0.0,0.0,0.0
world,139,122,253,3,0.0,0.0,0.0,0.0
get,136,246,100,3,0.0,0.0,0.0,0.0
sale,135,14,414,3,0.0,0.0,0.0,0.0
